Namn,Bilete-bguw,Frå år,Materialar,Materialkommentar,Nasjonalmuseet,Objekt-ID,Produksjonsstad,Produsent,Til år,3D-modell,Estimert vekt (kg),Nasjonalitet,Bilete-URL,Emneord,Erverving,Setehøgde (cm),Stilperiode,Teknikk,Breidde (cm),Datering,Djupn (cm),Høgde (cm),Nemning,Hundreår
Stol (OK-07252),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-07252/OK-07252_bguw.png,1700.0,"Mahogni, Silke","Beiset og fernissert mahogni med skåret dekor, setetrekk i silkeatlask.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-07252,OK-07252,Storbritannia,,1700.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/OK-07252.glb,,,https://dms01.dimu.org/image/019EGKhwerRcp?dimension=1200x1200,Møbel,Kjøpt 1911,47.5,Rokokko,"Plugging, Polstring, Tapping",53.0,Midten av 1700-tallet,55.0,100.0,,1700-talet
Stol (OK-07252),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-07252/OK-07252_bguw.png,1700.0,"Mahogni, Silke","Beiset og fernissert mahogni med skåret dekor, setetrekk i silkeatlask.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-07252,OK-07252,Storbritannia,,1700.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/OK-07252.glb,,,https://dms01.dimu.org/image/019EGKhwerRcp?dimension=1200x1200,Møbel,Kjøpt 1911,47.5,Rokokko,"Plugging, Polstring, Tapping",53.0,Midten av 1700-tallet,55.0,100.0,,1700-talet
Stol (OK-07243),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-07243/OK-07243_bguw.png,1700.0,"Mahogni, Silke","Mahogni med skåret og dreid dekor, silketrekk.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-07243,OK-07243,Storbritannia,,1700.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/OK-07243.glb,,,https://dms01.dimu.org/image/019EGKhwerRvV?dimension=1200x1200,Møbel,Kjøpt 1911,47.0,Hepplewhite,"Polstring, Tapping",48.0,Slutten av 1700-tallet,52.0,94.5,,1700-talet
Stol (OK-07063),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-07063/OK-07063_bguw.png,1700.0,"Hestetagl, Mahogni","Mahogni med skåret dekor, hestehårstrekk.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-07063,OK-07063,Storbritannia,,1700.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/OK-07063.glb,,,https://dms01.dimu.org/image/019EGKhwgM5rx?dimension=1200x1200,Møbel,Kjøpt 1903,94.2,Chippendale,Polstring,54.0,Midten av 1700-tallet,44.0,94.2,,1700-talet
Stol (OK-07062),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-07062/OK-07062_bguw.png,1800.0,"Bjørk, Furu","Dekorbemalt bjørk og furu, skåret dekor.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-07062,OK-07062,"Tudal, Telemark",,1800.0,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/STOLAR/glb/OK-07062.glb,,,https://dms01.dimu.org/image/019EGKhwgJk2M?dimension=1200x1200,Møbel,Kjøpt 1903,98.0,Barokk,Tapping,47.3,første halvdel av 1800-tallet,34.0,98.0,,1800-talet
Stol (OK-02274),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-02274/OK-02274_bguw.png,1690.0,"Ask, Kryssfiner, Lær, Messing, Strie",Relieffskåret ask og gyldenlær,https://www.nasjonalmuseet.no/samlingen/objekt/OK-02274,OK-02274,Norge,,1690.0,OK-02274_94778.glb,36.1,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=94778.tif&size=full,Møbel,Kjøpt 1884,47.5,Barokk,"Plugging, Polstring, Tapping",59.0,1690,63.0,137.0,Stol,1600-talet
Safari,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/NMK.2005.0644/NMK.2005.0644_bguw.png,2002.0,"Kryssfiner, Tekstil, Tre","Fernissert og beiset laminert tre, tekstil",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0644,NMK.2005.0644,Norge,,2002.0,NMK.2005.0644_34871.glb,22.1,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=34871.tif&size=full,"Design, Møbel",Gave 2005,,Postmodernisme,"Laminering, Plugging",65.0,2002,60.0,86.0,,2000-talet
Motion,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/NMK.2005.0645/NMK.2005.0645_bguw.png,2000.0,"Bøk, Metall","Fargelakkert bøk og metall, plast",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0645,NMK.2005.0645,Norge,,2000.0,NMK.2005.0646_08736.glb,15.8,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=08733.tif&size=full,"Design, Møbel",Ervervet 2005,89.5,Postmodernisme,"Formbøying, Laminering, Skruing",44.5,2000,60.0,89.5,,2000-talet
Stol (OK-1989-0229D),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-1989-0229D/OK-1989-0229D_bguw.png,1870.0,"Bronse, Messing, Silke, Tre","Svartlakkert tre, profilert, skåret og dreid dekor, polstret, silketrekk, bronselister.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-1989-0229D,OK-1989-0229D,Norge,,1870.0,OK-1989-0229D_08308.glb,14.0,Noreg,https://dms01.dimu.org/image/019EGKi4CMaxh?dimension=4000x4000,"Kunstindustri, Møbel",Kjøpt 1989,,Louis XVI,,50.0,1870,46.0,92.0,,1800-talet
50/03,,1938.0,"Bjørk, Ull",Sammensatt bjørk med polstret ullstoff,https://www.nasjonalmuseet.no/samlingen/objekt/OK-INV-013K,OK-INV-013K,Norge,,1938.0,OK-INV-013K_29885.glb,12.1,Noreg,,Møbel,Innskrevet i samlingene 2009,45.5,,"Maskinsinking, Polstring, Skruing, Tapping",41.0,1938,48.0,80.0,,1900-talet
Stol (OK-1989-0229A),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-1989-0229A/OK-1989-0229A_bguw.png,1870.0,"Bronse, Messing, Silke, Tre","Svartlakkert tre, profilert, skåret og dreid dekor, polstret, silketrekk, bronselister.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-1989-0229A,OK-1989-0229A,Norge,,1870.0,OK-1989-0229A_07614.glb,15.7,Noreg,https://dms01.dimu.org/image/019EGKi4CPvoM?dimension=4000x4000,"Kunstindustri, Møbel",Kjøpt 1989,,Louis XVI,Polstring,50.0,1870,46.0,92.0,Stol,1800-talet
Stol til Nasjonalgalleriet,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/NMK.INVENTAR.2017.0213/NMK.INVENTAR.2017.0213_bguw.png,1900.0,"Eik, Tekstil",,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.INVENTAR.2017.0213,NMK.INVENTAR.2017.0213,Norge,,1900.0,NMK.INVENTAR.2017.0213_146734.glb,13.9,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=146734.tif&size=full,"Kunstindustri, Møbel","Tidligere innkommet, antagelig 1900",,,Tapping,44.7,1900,48.5,81.0,Stol,1900-talet
Stol (OK-02256),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-02256/OK-02256_bguw.png,1632.0,"Bøk, Lin, Messing, Ull","Stolpestol i bøk med dreide og beisede elementer, stoppet sete og rygg trukket med flossing, brodert trekk, messingnagler",https://www.nasjonalmuseet.no/samlingen/objekt/OK-02256,OK-02256,Norge,,1632.0,OK-02256_35727.glb,23.2,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=35727.tif&size=full,"Kunstindustri, Møbel",Gave 1885,55.0,Renessanse,"Plugging, Polstring, Tapping",50.5,1632,49.0,95.5,,1600-talet
Stol (OK-06932),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-06932/OK-06932_bguw.png,1690.0,"Ask, Eik","Dreid stolpekonstruksjon og gjennombrutte figurskjæringer utført i ask, stoppet sete og rygg trukket i preget gyldenlær",https://www.nasjonalmuseet.no/samlingen/objekt/OK-06932,OK-06932,Norge,,1690.0,OK-06932_35865.glb,48.6,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=35865.tif&size=full,"Kunstindustri, Møbel",Kjøpt 1902,45.0,Barokk,"Plugging, Polstring, Tapping",70.5,1690,70.0,139.0,,1600-talet
Stol fra Eventyrværelset,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-1995-0109/OK-1995-0109_bguw.png,1897.0,Furu,Armstol i utskåret og bemalt furu.,https://www.nasjonalmuseet.no/samlingen/objekt/OK-1995-0109,OK-1995-0109,Norge,,1897.0,OK-1995-0109_115045.glb,19.8,Noreg,https://dms01.dimu.org/image/019EGKi4AuwbV?dimension=4000x4000,Møbel,Kjøpt 1995,36.7,Jugend,,61.0,1897,66.5,108.7,,1800-talet
Garden,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/NMK.2005.0639/NMK.2005.0639_bguw.png,1985.0,"Bøk, Kryssfiner, Skumplast, Ull","Bøk, ull",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0639,NMK.2005.0639,Norge,,1985.0,NMK.2005.0639_140184.glb,80.0,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=140184.tif&size=full,"Design, Møbel",Gave 2005,,Postmodernisme,"Formbøying, Plugging, Polstring, Skruing, Tapping",105.0,1985,105.0,182.0,,1900-talet
Stol (OK-02781),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-02781/OK-02781_bguw.png,1705.0,"Ask, Lin, Lær, Or","Ask og or med skåret og dreid dekor, gyllenlærstrekk",https://www.nasjonalmuseet.no/samlingen/objekt/OK-02781,OK-02781,Norge,,1705.0,OK-02781_07303.glb,25.5,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=07303.tif&size=full,Møbel,Kjøpt 1886,44.0,Barokk,"Plugging, Polstring, Tapping",53.5,1705,53.5,126.0,Stol,1700-talet
Stol (OK-15056B-1),,1889.0,"Eik, Palme",Beiset eikestol med skåret og dreid dekor og flettet rotting.,https://www.nasjonalmuseet.no/samlingen/objekt/OK-15056B-1,OK-15056B-1,Norge,,1889.0,OK-15056B-1_94840.glb,18.9,Noreg,https://dms01.dimu.org/image/019EGKhwqCL5j?dimension=4000x4000,Møbel,Gave 1958,46.7,Historisme,"Fletting, Tapping",46.5,1889,60.3,102.0,,1800-talet
Stol (OK-1980-0045),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-1980-0045/OK-1980-0045_bguw.png,1979.0,"Bøk, Kryssfiner, Ull","Fernissert laminert bøk, polstret, ulltrekk",https://www.nasjonalmuseet.no/samlingen/objekt/OK-1980-0045,OK-1980-0045,Norge,,1979.0,OK-1980-0045_92588.glb,14.9,Noreg,https://dms01.dimu.org/image/019EGKhwqFMVU?dimension=4000x4000,Møbel,Ervervet 1980,51.5,Postmodernisme,"Formbøying, Laminering, Polstring, Skruing",50.8,1979,71.8,51.5,,1900-talet
Reflex 1,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/NMK.2005.0646/NMK.2005.0646_bguw.png,1999.0,"Ask, Kryssfiner, Polyamid, Stål","Beiset, fargelakkert og fernissert kryssfiner og ask med dreid dekor, nylontau og sveiset stål.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0646,NMK.2005.0646,Norge,,1999.0,NMK.2005.0646_08736%201.glb,42.8,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=08736.tif&size=full,"Design, Møbel, Prototyp",Ervervet 2005,120.0,Postmodernisme,Sveising,81.0,1999,80.0,120.0,,1900-talet
Stol (OK-02782),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-02782/OK-02782_bguw.png,1710.0,"Ask, Lær, Or","Ask og or med dreid og skåret dekor, gyllenlærstrekk",https://www.nasjonalmuseet.no/samlingen/objekt/OK-02782,OK-02782,Norge,,1710.0,OK-02782_07407.glb,26.6,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=07407.tif&size=full,Møbel,kjøpt 1886,44.0,Barokk,"Plugging, Polstring, Tapping",54.5,1710,54.5,126.5,,1700-talet
Stol (OK-1966-0114),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-1966-0114/OK-1966-0114_bguw.png,1787.0,Bøk,"Dreid og skåret bøk, polstret sete trukket med ullstoff",https://www.nasjonalmuseet.no/samlingen/objekt/OK-1966-0114,OK-1966-0114,Norge,,1787.0,OK-1966-0114_OK-1966-011420240516.glb,20.7,Noreg,https://dms01.dimu.org/image/019EGKhwqELk7?dimension=4000x4000,Møbel,"Testamentarisk gave, innkommet 1966",,Nyklassisisme,Polstring,49.0,1787,54.0,99.0,Stol,1700-talet
Discovery 103,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-1994-0038/OK-1994-0038_bguw.png,1933.0,Plast,Sveiset og polstret plast,https://www.nasjonalmuseet.no/samlingen/objekt/OK-1994-0038,OK-1994-0038,Norge,,1933.0,OK-1994-0038_93125.glb,8.2,Noreg,https://dms01.dimu.org/image/019EGKhqGDBgi?dimension=4000x4000,"Industridesign, Sportsutstyr, Transport",Gave 1994,,Modernisme,"Polstring, Sveising",37.0,1933,38.0,93.0,Stol,1900-talet
Stol (OK-06661),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-06661/OK-06661_bguw.png,1787.0,"Bøk, Tekstil",Utskåret og lakkert bøk med polstret sete,https://www.nasjonalmuseet.no/samlingen/objekt/OK-06661,OK-06661,Norge,,1787.0,OK-06661_OK-06661.glb,16.1,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=OK-06661.tif&size=full,"Kunstindustri, Møbel",Kjøpt 1902,,Nyklassisisme,"Fernissering, Polstring",49.0,1787,45.0,92.0,Stol,1700-talet
Armstol (OK-06616),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-06616/OK-06616_bguw.png,1775.0,"Bøk, Furu, Hestetagl",Beiset bøk og furu med hestehårstrekk,https://www.nasjonalmuseet.no/samlingen/objekt/OK-06616,OK-06616,Norge,,1775.0,OK-06616_93136.glb,21.1,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=93136.tif&size=full,"Kunstindustri, Møbel",Kjøpt 1902,,Louis XVI,"Polstring, Tapping",55.0,1775,51.0,95.0,,1700-talet
Mann originaltittel,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/NMK.2005.0661/NMK.2005.0661_bguw.png,1999.0,"Ask, Kryssfiner, Polyamid, Stål","Stol i beiset, fargelakkert og fernissert kryssfiner og ask med dreid dekor, nylontau og sveiset stål.",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0661,NMK.2005.0661,Norge,,1999.0,NMK.2005.0661_08753.glb,72.8,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=08753.tif&size=full,"Design, Møbel, Prototyp",Ervervet 2005,,Postmodernisme,Sveising,81.0,1999,135.0,121.0,,1900-talet
Stol (OK-06624),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-06624/OK-06624_bguw.png,1730.0,"Ask, Bjørk, Lær","Ask og bjørk med skåret dekor, gyllenlærstrekk.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-06624,OK-06624,Norge,,1730.0,OK-06624_07255.glb,18.6,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=07255.tif&size=full,Møbel,Kjøpt 1902,,Régence,"Innfelling, Polstring",51.0,1730,40.0,129.0,,1700-talet
Stol (OK-1989-0229B),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-1989-0229B/OK-1989-0229B_bguw.png,1870.0,"Bronse, Messing, Silke, Tre","Svartlakkert tre, profilert, skåret og dreid dekor, polstret, silketrekk, bronselister.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-1989-0229B,OK-1989-0229B,Norge,,1870.0,OK-1989-0229B_08309.glb,16.4,Noreg,https://dms01.dimu.org/image/019EGKi4NnBBG?dimension=4000x4000,"Kunstindustri, Møbel",Kjøpt 1989,,Louis XVI,,50.0,1870,46.0,92.0,,1800-talet
Stol (OK-03079),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-03079/OK-03079_bguw.png,1700.0,"Lær, Or","Rødmalt or med skåret dekor, gyllenlærstrekk.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-03079,OK-03079,Norge,,1700.0,OK-03079_07410.glb,22.7,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=07410.tif&size=full,Møbel,"Testamentarisk gave, innkommet 1889",46.0,Barokk,"Polstring, Tapping",54.0,1700,55.0,120.0,,1700-talet
Stol (OK-01630),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-01630/OK-01630_bguw.png,1670.0,"Ask, Lin, Lær, Messing, Or","Ask med skåret og dreid dekor, lærtrekk",https://www.nasjonalmuseet.no/samlingen/objekt/OK-01630,OK-01630,Norge,,1670.0,OK-01630_07140.glb,20.3,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=07140.tif&size=full,Møbel,Kjøpt 1879,68.0,Barokk,"Plugging, Polstring, Tapping",49.5,1670,50.0,116.0,,1600-talet
Spring,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-1991-0003/OK-1991-0003_bguw.png,1986.0,Bøk,"Bøklaminat, sprøytelakkert metall",https://www.nasjonalmuseet.no/samlingen/objekt/OK-1991-0003,OK-1991-0003,Norge,,1991.0,OK-1991-0003_104382.glb,19.1,Noreg,https://dms01.dimu.org/image/019EGKi4AuGwJ?dimension=4000x4000,"Design, Møbel",Gave 1991,106.0,,Tapping,48.0,1986 (design) / 1991 (dette eksemplar),57.0,106.0,,1900-talet
Stol (OK-06659),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-06659/OK-06659_bguw.png,1787.0,"Bøk, Tekstil","Utskåret, profilert og lakkert bøk med polstret sete",https://www.nasjonalmuseet.no/samlingen/objekt/OK-06659,OK-06659,Norge,,1787.0,OK-06659_OK-06659.glb,17.5,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=OK-06659.tif&size=full,"Kunstindustri, Møbel",Kjøpt 1902,,Nyklassisisme,"Fernissering, Polstring",49.0,1787,48.0,94.0,,1700-talet
Stol (OK-03080),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-03080/OK-03080_bguw.png,1700.0,"Lin, Lær, Or","Rødmalt or med skåret dekor, gyllenlærstrekk.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-03080,OK-03080,Norge,,1700.0,OK-03080_07411.glb,18.0,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=07411.tif&size=full,Møbel,"Testamentarisk gave, innkommet 1889",46.0,Barokk,"Innfelling, Polstring",50.0,1700,47.0,120.5,Stol,1700-talet
Stol (OK-03078),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-03078/OK-03078_bguw.png,1700.0,"Bjørk, Lær","Brunmalt bjørk med skåret dekor, gyllenlærstrekk.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-03078,OK-03078,Norge,,1700.0,OK-03078_09102.glb,24.2,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=09102.tif&size=full,Møbel,"Testamentarisk gave, innkommet 1889",47.0,Barokk,"Polstring, Tapping",53.0,1700,53.0,112.0,,1700-talet
Stol (OK-02257),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-02257/OK-02257_bguw.png,1691.0,Ask,"Fernissert ask, utskjæringer i karveskurd",https://www.nasjonalmuseet.no/samlingen/objekt/OK-02257,OK-02257,Norge,,1691.0,OK-02257_07406.glb,10.6,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=07406.tif&size=full,Møbel,Gave 1885,51.0,Barokk,"Plugging, Tapping",45.0,1691,41.5,96.0,,1600-talet
Stol (OK-05553),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-05553/OK-05553_bguw.png,1700.0,"Bjørk, Furu, Lær","Bjørk og furu med skåret og dreid dekor, gyllenlærstrekk.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-05553,OK-05553,Norge,,1700.0,OK-05553_07152.glb,18.0,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=07152.tif&size=full,Møbel,kjøpt 1896,,Barokk,"Innfelling, Polstring",47.0,1700,40.0,125.0,,1700-talet
Omfavnelse originaltittel,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/NMK.2005.0640/NMK.2005.0640_bguw.png,1986.0,"Ask, Kryssfiner, Skumplast, Ull","Bemalt og fargelakkert ask, skåret dekor, kryssfiner, skumplast polstring med ulltrekk",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0640,NMK.2005.0640,Norge,,1986.0,NMK.2005.0640_34680.glb,,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=34680.tif&size=full,"Design, Møbel",Ervervet mellom 2003 og 2005,,Postmodernisme,"Liming, Polstring, Skruing",,1986,,107.0,,1900-talet
Tennis (prototype),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-2002-0142/OK-2002-0142_bguw.png,2000.0,"Jern, Ull","Stell av fargelakkert jern, polstret pute trukket med ullstoff, maskinsydd",https://www.nasjonalmuseet.no/samlingen/objekt/OK-2002-0142,OK-2002-0142,Norge,,2000.0,OK-2002-0142_07114.glb,9.5,Noreg,https://dms01.dimu.org/image/019EGKi4DqEmD?dimension=4000x4000,"Design, Møbel",Kjøpt 2002,45.0,,"Polstring, Skruing, Sveising",53.0,2000,49.0,58.0,,2000-talet
Stol (OK-05554),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-05554/OK-05554_bguw.png,1650.0,"Bøk, Lær","Bøk med skåret og dreid dekor, lærtrekk.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-05554,OK-05554,Norge,,1650.0,OK-05554_09086.glb,21.3,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=09086.tif&size=full,Møbel,Gave 1895,53.0,Barokk,"Plugging, Polstring, Tapping",48.0,1650,49.5,103.5,,1600-talet
Balans skulptur,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-1980-0043/OK-1980-0043_bguw.png,1980.0,"Stål, Tekstil","Velur, skumplast polstring, stål",https://www.nasjonalmuseet.no/samlingen/objekt/OK-1980-0043,OK-1980-0043,Norge,,1980.0,OK-1980-0043_07085.glb,7.0,Noreg,https://dms01.dimu.org/image/019EGKhwqFMBm?dimension=4000x4000,"Design, Møbel",Gave 1980,40.0,Postmodernisme,Polstring,51.0,1980,55.0,40.0,,1900-talet
Balans Gravity,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/NMK.2005.0638/NMK.2005.0638_bguw.png,1983.0,"Bøk, Kryssfiner, Lær","Formbøyd laminert bøk, fernissering, kryssfiner, polstring, lærtrekk",https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0638,NMK.2005.0638,Norge,,1983.0,NMK.2005.0638_09013.glb,79.3,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=09013.tif&size=full,"Design, Møbel",Ervervelsesopplysninger under arbeid,108.0,,"Formbøying, Laminering, Polstring, Skruing",73.0,1983,127.0,108.0,,1900-talet
Ekstrem originaltittel,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/NMK.2016.0135.001/NMK.2016.0135.001_bguw.png,1972.0,Stålrør,Bøyde stålrør,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2016.0135.001,NMK.2016.0135.001,Norge,,1972.0,NMK.2016.0135.001_142188.glb,4.5,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=142188.tif&size=full,"Industridesign, Møbel",Gave 2016,,Funksjonalisme,,63.0,1972,61.0,74.5,,1900-talet
Stol (OK-dep-01106),,1690.0,"Ask, Lær",Dreid og skåret ask med gyldenlærtrekk,https://www.nasjonalmuseet.no/samlingen/objekt/OK-dep-01106,OK-dep-01106,Norge,,1690.0,OK-dep-01106_72718.glb,30.9,Noreg,,Møbel,Depositum 1973,,Régence,"Polstring, Tapping",55.0,1690,59.0,134.5,,1600-talet
Ecco 01,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/NMK.2021.0137/NMK.2021.0137_bguw.png,1970.0,"Skumplast, Stålrør, Tekstil",Bøyde stålrør med polstret kaldskum og tekstil,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2021.0137,NMK.2021.0137,Sykkylven / Møre og Romsdal / Norge,,1971.0,NMK.2021.0137_NMK.2021.0137.glb,8.4,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=NMK.2021.0137.tif&size=full,"Design, Møbel",Kjøpt 2021,,Funksjonalisme,"Formbøying, Polstring",78.0,1970 (design) 1971 (produksjon),101.0,68.0,,1900-talet
Stol (OK-1995-0136C),,1905.0,"Mahogni, Messing, Ull","Mahognistol i stolpekonstruksjon med relieffskåret dekor, trekk av håndvevd billedvev i gobelinteknikk i ull",https://www.nasjonalmuseet.no/samlingen/objekt/OK-1995-0136C,OK-1995-0136C,Norge,,1899.0,OK-1995-0136C_38120.glb,16.8,Noreg,https://dms01.dimu.org/image/019EGKi4CNvp3?dimension=4000x4000,Møbel,Gave 1996,49.5,Dragestil,"Polstring, Tapping, Veving",44.5,"1905 (møblement), 1899 (vevdesign)",47.0,92.5,,1900-talet
Stol (OK-04953),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-04953/OK-04953_bguw.png,1675.0,"Bjørk, Furu, Jern","Bjørk med skåret dekor, sammenføyd med tapper.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-04953,OK-04953,Nord / Gudbrandsdal / Norge,,1675.0,OK-04953_07306.glb,12.4,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=07306.tif&size=full,Møbel,kjøpt 1897,51.5,Renessanse,"Spikring, Tapping",47.0,1675,44.5,93.0,,1600-talet
Gazelle 3357/1,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/OK-2002-0168/OK-2002-0168_bguw.png,1962.0,"Kryssfiner, Lær, Stål","Formbøyd kryssfiner med skumplast og lærtrekk, formbøyd og forkrommet stål.",https://www.nasjonalmuseet.no/samlingen/objekt/OK-2002-0168,OK-2002-0168,Norge,,1962.0,OK-2002-0168_07115.glb,19.3,Noreg,https://dms01.dimu.org/image/019EGKi4DqEJi?dimension=4000x4000,"Design, Møbel",Kjøpt 2002,,Funksjonalisme,"Formbøying, Polstring, Skruing",52.0,1962,60.0,98.5,,1900-talet
Ekstrem originaltittel,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/NMK.2016.0135.002/NMK.2016.0135.002_bguw.png,1972.0,"Polyuretan, Stål",Bøyde stålrør dekket med polyuretanskum,https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2016.0135.002,NMK.2016.0135.002,Norge,,1972.0,NMK.2016.0135.002_143736.glb,18.0,Noreg,https://ms01.nasjonalmuseet.no/api/objects/download?filename=143736.tif&size=full,"Industridesign, Møbel",Gave 2016,,Funksjonalisme,,67.0,1972,89.0,42.0,,1900-talet
